,Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,Times Missed,Damages
74,25866,11/03/17,Trash Collection Complaint,"caller upset states trash never runs that early, alley. trash/cart full and wants cart emptied. unit-a",1112 joseph ave a,37207,metro,9207,5.0,1740730.56463376,677098.400346173,2.0,200.0
75,25883,11/03/17,Trash - Curbside/Alley Missed Pickup,curb 2 trash/carts miss wednesday.,615 39th ave n,37209,red river,1309,21.0,1722565.76577788,664590.400964814,1.0,0.0
76,25924,11/03/17,Trash - Curbside/Alley Missed Pickup,"trash not picked up on wednesday 11/1/17. still there today, 11/3/17.",6532 cornwall ct,37205,red river,1301,23.0,1702976.16585215,648132.002253467,2.0,200.0
77,25931,11/03/17,Trash - Curbside/Alley Missed Pickup,missed.,1801 shelby ave b,37206,metro,9508,6.0,1750414.56501765,669480.002188032,1.0,0.0
78,25941,11/03/17,Trash Collection Complaint,missed again. has had multiple issues with the route. needs her trash picked up,1300 rural hill rd,37013,red river,4504,32.0,1777932.16365737,628763.20213387,2.0,200.0
79,25947,11/03/17,Trash - Curbside/Alley Missed Pickup,"missed pick up - others missed in area
cart sits on farrell pkwy side of home",5001 stillwood dr,37220,red river,2403,26.0,1743063.36456994,633874.402492176,1.0,0.0
80,25949,11/03/17,Trash - Curbside/Alley Missed Pickup,curb trash/miss thursday.  {dead end},5040 mclendon dr,37013,red river,3404,30.0,1764866.47496322,627175.456228462,1.0,0.0
81,25963,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,5209 nevada ave,37209,red river,1308,24.0,1717356.96511362,661694.402865844,1.0,0.0
82,25968,11/03/17,Trash - Backdoor,missing every other week- resident is upset.,2413 ravine dr,37217,red river,2505,29.0,1779724.87528408,637970.052613039,2.0,200.0
83,25970,11/03/17,Trash Collection Complaint,missed - everyone except his picked up,641 truxton ct,37214,red river,2501,14.0,1778863.36340609,663667.201352353,3.0,400.0
84,25972,11/03/17,Trash - Curbside/Alley Missed Pickup,missed.,916 petway ave,37206,waste ind,2509,5.0,1746483.05491246,675576.311639175,1.0,0.0
85,25973,11/03/17,Trash - Curbside/Alley Missed Pickup,missed.,914 petway ave,37206,metro,9504,5.0,1746437.31788936,675598.756696348,1.0,0.0
86,25976,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pick up - said happens often,2205 woodmont blvd,37215,red river,2305,25.0,1727989.86131255,649157.290032477,3.0,400.0
87,25982,11/03/17,Trash Collection Complaint,"trash/carts sit's on side alley, missed last week.  thursday still full. {construction but recycle/guys pickup yesterday.",1209 linden ave,37212,metro,9403,18.0,1735176.21537301,654041.479336066,4.0,600.0
88,25985,11/03/17,Trash Collection Complaint,missed- neighbor was also skipped.,641 truxton ct,37214,red river,2501,14.0,1778863.36340609,663667.201352353,3.0,400.0
89,25987,11/03/17,Trash - Curbside/Alley Missed Pickup,missed,1609 lillian st,37206,metro,9506,6.0,1749557.76458195,670298.400857033,2.0,200.0
90,25988,11/03/17,Trash - Curbside/Alley Missed Pickup,"customer had 2 trash carts, but only one of them was emptied",3913 tea garden way,37013,red river,3504,33.0,1787799.2704263,631948.89641133,1.0,0.0
91,26009,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pickup,1009 southside ave b,37203,metro,9407,17.0,1737251.71928847,660570.705525375,2.0,200.0
92,26014,11/03/17,Trash Collection Complaint,"file complaint trash is not getting pick up, wants to know why? wednesday missed again. curb",940 battlefield dr,37204,red river,4305,25.0,1736674.97056786,649463.326801324,2.0,200.0
93,26026,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pickup for the street,4316 summercrest blvd 404,37013,red river,4510,32.0,1785751.36227617,625659.626345631,1.0,0.0
94,26027,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pick up,1316 hawkins st,37203,metro,9405,19.0,1735750.56584074,661916.858863188,1.0,0.0
95,26031,11/03/17,Trash - Curbside/Alley Missed Pickup,missed.,2731 murfreesboro pike,37013,red river,4502,32.0,1781139.3630718,632445.602376676,15.0,2800.0
96,26038,11/03/17,Trash - Curbside/Alley Missed Pickup,entire street was missed,1021 iverson ave,37216,metro,9505,8.0,1750814.58488164,683451.989961591,1.0,0.0
97,26039,11/03/17,Trash - Curbside/Alley Missed Pickup,missed,816 dresden ct,37013,red river,3502,33.0,1790883.75713476,635609.498650843,1.0,0.0
98,26058,11/05/17,Trash - Curbside/Alley Missed Pickup,did not see or hear truck on friday,216 gentry ave,37206,metro,9503,6.0,1752367.76583093,674908.120528695,2.0,200.0
99,26100,11/05/17,Trash - Curbside/Alley Missed Pickup,customer says trash was missed for the entire street,3901 calumet dr,37013,red river,3504,33.0,1786499.48335545,632203.432026315,1.0,0.0
100,26113,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pickup,208 scott ave,37206,metro,9503,6.0,1751873.53924524,674600.564079415,2.0,200.0
101,26114,11/06/17,Trash Collection Complaint,this side missed friday {wants to know why? she's being missed},4776 apollo dr,37013,red river,4501,28.0,1771324.16507049,633462.401256226,2.0,200.0
102,26138,11/06/17,Trash Collection Complaint,alley trash/miss last thursday. overflowing needs empty. before this thursday.,901 caruthers ave,37204,metro,9403,17.0,1737067.07936313,653155.134059763,1.0,0.0
103,26141,11/06/17,Trash Collection Complaint,trash missed almost every week - adv client to bag all loose items,5550 mt view rd,37013,red river,4504,32.0,1780680.16447547,622557.60189448,7.0,1200.0
104,26144,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up in alley - several missed in area,1602 eastland ave,37206,metro,9503,6.0,1749920.96371603,674054.401018719,1.0,0.0
105,26151,11/06/17,Trash Collection Complaint,"backdoor/trash keeps getting missed. friday
open gate trash/cart is there always.",4625 long br,37013,red river,4505,28.0,1770350.41605229,634143.871818357,3.0,400.0
106,26157,11/06/17,Trash - Curbside/Alley Missed Pickup,others missed in area,3908 calumet dr,37013,red river,3504,33.0,1786531.38687829,631997.736126736,1.0,0.0
107,26160,11/06/17,Trash - Curbside/Alley Missed Pickup,missed entire area.,2511 lakevilla dr,37217,red river,4502,29.0,1778601.17793013,636324.950423673,2.0,200.0
108,26161,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up - entire street missed,4020 calumet dr,37013,red river,3504,33.0,1786210.64596214,631445.615025531,1.0,0.0
109,26166,11/06/17,Trash - Backdoor,missed again backdoor.,2514 elm hill pike,37214,red river,2502,15.0,1767608.16351074,663072.802089764,1.0,0.0
110,26169,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pickup in alley behind 4611 alabama ave,4611 alabama ave,37209,red river,1309,24.0,1719517.76539484,663456.80190006,1.0,0.0
111,26170,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pickup,206 scott ave,37206,metro,9503,6.0,1751873.53924524,674600.564079415,1.0,0.0
112,26175,11/06/17,Trash - Curbside/Alley Missed Pickup,curb trash missed for this address and one other. share driveway 2 carts.,1906 franklin ave,37206,metro,9503,6.0,1751436.16634754,674472.823347848,1.0,0.0
113,26213,11/06/17,Trash - Curbside/Alley Missed Pickup,missed.,2733 murfreesboro pike c,37013,red river,4502,32.0,1781139.3630718,632445.602376676,1.0,0.0
114,26216,11/06/17,Trash - Backdoor,missed backdoor pick up,4713 delia dr,37013,red river,4505,28.0,1767696.74661379,631909.527018137,1.0,0.0
115,26233,11/06/17,Trash - Curbside/Alley Missed Pickup,customer says missed trash pickup for the entire street,1910 franklin ave,37206,metro,9503,6.0,1751532.16581431,674463.22439061,1.0,0.0
116,26236,11/06/17,Trash Collection Complaint,missed- frequently.,2503 lakevilla dr,37217,red river,4502,29.0,1778670.08423602,636350.884032125,1.0,0.0
117,26239,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,405 calumet ct,37013,red river,3504,33.0,1786097.91807169,630974.7555982,1.0,0.0
118,26241,11/06/17,Trash Collection Complaint,customer says that her backdoor trash is missed every week,213 perlen dr,37206,red river,1201,6.0,1754750.56500654,671480.002624894,2.0,200.0
119,26257,11/06/17,Trash - Curbside/Alley Missed Pickup,missed entire cul de sac,205 shoemaker ct,37013,red river,3504,33.0,1786467.63325944,631954.880175944,4.0,600.0
120,26264,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up,400 lorna dr,37214,red river,2503,15.0,1771304.96317514,664916.801166548,3.0,400.0
121,26275,11/06/17,Trash - Backdoor,customer says trash pickup was missed again,936 cahal ave,37206,metro,9507,5.0,1748206.4428172,679272.537889391,9.0,1600.0
122,26283,11/06/17,Trash - Curbside/Alley Missed Pickup,missed,3124 murfreesboro pike,37013,red river,4502,33.0,1784737.3138611,629098.451312482,3.0,400.0
123,26284,11/06/17,Trash - Curbside/Alley Missed Pickup,missed,3124 murfreesboro pike,37013,red river,4502,33.0,1784737.3138611,629098.451312482,3.0,400.0
124,26297,11/06/17,Trash Collection Complaint,"trash/has been missed often, in court. wants cart empty before thursday.  overflowing.",5526 hill ct,37220,red river,2402,4.0,1747372.95012115,623667.974265596,1.0,0.0
125,26306,11/06/17,Trash Collection Complaint,"backdoor trash keeps being missed, truck comes on an off day when should be on normal schedule. thursday. correct matter.
has been missed 9 times since 7/17/2017 please call 615-982-6915",233 blackman rd,37211,red river,2404,26.0,1750805.76361265,634405.602185643,3.0,400.0
126,26311,11/06/17,Trash - Curbside/Alley Missed Pickup,missed on friday,2524 lakevilla dr,37217,red river,4502,29.0,1778630.07374003,636218.257746206,2.0,200.0
127,26318,11/06/17,Trash Collection Complaint,curb/trash miss last friday. ? wants cart emptied before this friday.,1416 forrestal way,37013,red river,3503,33.0,1791347.95408444,632655.321099772,1.0,0.0
128,26339,11/06/17,Trash - Backdoor,backdoor miss,600 hillwood blvd,37205,red river,2301,24.0,1711632.96698317,656237.602418504,1.0,0.0
129,26348,11/06/17,Trash - Curbside/Alley Missed Pickup,"trash/miss friday, alley unit-a",505 n 16th st,37206,metro,9503,6.0,1749828.31824519,673607.820957735,1.0,0.0
130,26349,11/06/17,Trash - Curbside/Alley Missed Pickup,others also missed in area,3404 roundwood forest dr,37013,red river,3504,33.0,1786291.32390156,632229.331995665,1.0,0.0
131,26378,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,2511 lakevilla dr,37217,red river,4502,29.0,1778601.17793013,636324.950423673,2.0,200.0
132,26391,11/06/17,Trash - Curbside/Alley Missed Pickup,the whole court miss trash/friday. also roundwood forest dr 37013. curb,212 shoemaker ct,37013,red river,3504,33.0,1786347.83130713,631973.157967746,1.0,0.0
133,26412,11/06/17,Trash - Curbside/Alley Missed Pickup,missed.,3006 goodwin dr,37217,red river,2505,29.0,1783818.56442841,637801.602887005,9.0,1600.0
134,26509,11/07/17,Trash Collection Complaint,"alley pickup, last wednesday trash/missed, does not want this to happen again tomorrow the 8th of nov. alley wants cart emptied and has overflow does not have anywhere else to set it. all bags should be pick up.  {sending a reminder}",5206 dakota ave,37209,red river,1308,24.0,1717415.36619102,661471.202868942,1.0,0.0
135,26511,11/07/17,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,3925 calumet dr,37013,red river,3504,33.0,1786639.64871135,631849.637928523,1.0,0.0
136,26516,11/07/17,Trash - Curbside/Alley Missed Pickup,curb/trash missed last friday. why?,2974 mcgavock pike,37214,red river,1501,15.0,1769532.96319572,679440.799229027,1.0,0.0
137,26547,11/07/17,Trash - Curbside/Alley Missed Pickup,customer says the entire street was missed,4016 calumet dr,37013,red river,3504,33.0,1786217.87832428,631496.771868036,1.0,0.0
138,26551,11/07/17,Trash - Curbside/Alley Missed Pickup,missed.,224 shoemaker ct,37013,red river,3504,33.0,1786256.20093912,631876.547064561,2.0,200.0
139,26591,11/07/17,Trash - Backdoor,missed back door - back door,3040 ned shelton rd,37217,red river,2504,29.0,1781246.61177347,641849.901288936,3.0,400.0
140,26673,11/07/17,Trash - Curbside/Alley Missed Pickup,customer says trash is not being picked up between 101-150 2nd ave n,111 2nd ave n,37201,metro,,19.0,1739543.36496981,666600.801765471,2.0,200.0
141,26674,11/07/17,Trash - Curbside/Alley Missed Pickup,customer says trash is not being picked up between 101-150 2nd ave n,111 2nd ave n,37201,,,19.0,1739543.36496981,666600.801765471,2.0,200.0
142,26737,11/07/17,Trash - Backdoor,back door missed.,4213 brush hill rd,37216,red river,2203,7.0,1757820.76308805,691476.199832402,1.0,0.0
143,26739,11/07/17,Trash - Curbside/Alley Missed Pickup,missed.,3316 curtis hill ct,37218,red river,4204,2.0,1723755.41711946,680649.197306288,2.0,200.0
144,26745,11/07/17,Trash - Curbside/Alley Missed Pickup,missed.,1112 joseph ave a,37207,metro,9207,5.0,1740730.56463376,677098.400346173,2.0,200.0
145,26746,11/07/17,Trash - Curbside/Alley Missed Pickup,missed.,824 harvest grove dr,37013,,,33.0,1789788.38571365,626552.7647041,1.0,0.0
146,26812,11/08/17,Trash - Curbside/Alley Missed Pickup,"curb trash/miss one side of street, happen every time. tuesday",1917 valley park dr,37216,red river,1203,7.0,1758394.14595784,679124.245357154,1.0,0.0
147,26823,11/08/17,Trash - Backdoor,backdoor pick up missed,3114 moorewood dr,37207,red river,2202,3.0,1738636.16355867,692656.800330449,2.0,200.0
148,26828,11/08/17,Trash - Curbside/Alley Missed Pickup,curb/trash dead end missed tuesday.,3528 pewitt rd,37218,red river,3203,1.0,1722417.83575682,687919.298363714,5.0,800.0
149,26847,11/08/17,Trash Collection Complaint,entire street was missed yesterday 11/07/17,3550 pewitt rd,37218,,,1.0,1721976.12344177,687846.927251394,3.0,400.0
150,26851,11/08/17,Trash Collection Complaint,"missed pick up - missed block tuesday bothside of street. curb 
will call the director of public works next time.",1103 preston dr,37206,red river,1201,6.0,1756688.56499823,675665.401288934,1.0,0.0
